artist_id,name,external_url,follower_count,image_url,popularity
630wzNP2OL7fl4Xl0GnMWq,BABYMETAL,https://open.spotify.com/artist/630wzNP2OL7fl4Xl0GnMWq,2193625,https://i.scdn.co/image/ab6761610000e5eb2c0d80b9de67c2819bb4dbc0,70
2cFrymmkijnjDg9SS92EPM,blackbear,https://open.spotify.com/artist/2cFrymmkijnjDg9SS92EPM,4976964,https://i.scdn.co/image/ab6761610000e5eb4f7d049994ac00ed885bfbf2,74
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ,17456915,https://i.scdn.co/image/ab6761610000e5eb57138b98e7ddd5a86ee97a9b,85
6nhHInOnQSWKRxntTHBH29,二口魔菜 Futakuchi Mana,https://open.spotify.com/artist/6nhHInOnQSWKRxntTHBH29,57949,https://i.scdn.co/image/ab6761610000e5eb29a6d5628829f6a3472b035d,46
542qEE4zFUrLQjWNMaOrbc,Hank Levy,https://open.spotify.com/artist/542qEE4zFUrLQjWNMaOrbc,6227,https://i.scdn.co/image/ab67616d0000b273074b2dbfacb6070b134b33ac,39
7o7mC95EDbJKTcPAAs8C3r,Big Gigantic,https://open.spotify.com/artist/7o7mC95EDbJKTcPAAs8C3r,259283,https://i.scdn.co/image/ab6761610000e5ebed3f89332136e5cb66e263d3,51
2lrtGWxNXWjd0JzDLKXubI,Berner,https://open.spotify.com/artist/2lrtGWxNXWjd0JzDLKXubI,294797,https://i.scdn.co/image/ab6761610000e5eb6aa487996d7c599223d724bb,59
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,https://open.spotify.com/artist/137W8MRPWKqSmrBGDBFSop,11208596,https://i.scdn.co/image/ab6761610000e5eb2cdddc4dd42f7403f0d7bb9c,82
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,https://open.spotify.com/artist/1U1el3k54VvEUzo3ybLPlM,7869877,https://i.scdn.co/image/ab6761610000e5eb51dfdac248da65a860963b68,84
06gQAoURCBTZrRk850fP16,Langston Bristol,https://open.spotify.com/artist/06gQAoURCBTZrRk850fP16,14244,https://i.scdn.co/image/ab6761610000e5eb5b5d3f3cd35d4a0b6d9587a6,41
5L9XA5GDsOOKNZfeOO8lmo,fam0uz,https://open.spotify.com/artist/5L9XA5GDsOOKNZfeOO8lmo,71078,https://i.scdn.co/image/ab6761610000e5ebf19a3d7d67007fe64b913e9b,67
3uwAm6vQy7kWPS2bciKWx9,girl in red,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,7467159,https://i.scdn.co/image/ab6761610000e5ebb3ed437da60866ed52c5238b,76
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,https://open.spotify.com/artist/6USv9qhCn6zfxlBQIYJ9qs,1872915,https://i.scdn.co/image/ab6761610000e5ebb62462a1a43ff08f8a982791,79
5fKpGPlcEvjFMDDWDKniND,ReauBeau,https://open.spotify.com/artist/5fKpGPlcEvjFMDDWDKniND,9104,https://i.scdn.co/image/ab6761610000e5ebce060adfec64329ff50b93fd,31
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,https://open.spotify.com/artist/0k17h0D3J5VfsdmQ1iZtE9,20860158,https://i.scdn.co/image/e69f71e2be4b67b82af90fb8e9d805715e0684fa,79
2tl280wIokrLjabzrSKTgU,Holding Absence,https://open.spotify.com/artist/2tl280wIokrLjabzrSKTgU,146376,https://i.scdn.co/image/ab6761610000e5eb91ee60fcf3a9af13bd7039a2,57
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,https://open.spotify.com/artist/20wkVLutqVOYrc0kxFs7rA,6659628,https://i.scdn.co/image/ab6761610000e5ebe5bc630548fb3517cf90edb8,82
360IAlyVv4PCEVjgyMZrxK,Miguel,https://open.spotify.com/artist/360IAlyVv4PCEVjgyMZrxK,5241529,https://i.scdn.co/image/ab6761610000e5eb4669166b571594eade778990,80
31SBgHxc8eqZUk9MdveH42,PREP,https://open.spotify.com/artist/31SBgHxc8eqZUk9MdveH42,295256,https://i.scdn.co/image/ab6761610000e5eb80855977de7fd4c56da3642f,52
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,https://open.spotify.com/artist/4UXqAaa6dQYAk18Lv7PEgX,10861835,https://i.scdn.co/image/ab6761610000e5eb362011ebe6064c38e97e9aac,79
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,https://open.spotify.com/artist/4O15NlyKLIASxsJ0PrXPfz,17696426,https://i.scdn.co/image/ab6761610000e5eb1234d2f516796badbdf16a89,85
3N8Hy6xQnQv1F1XCiyGQqA,Sleeping With Sirens,https://open.spotify.com/artist/3N8Hy6xQnQv1F1XCiyGQqA,2361955,https://i.scdn.co/image/ab6761610000e5eb7fbe33148fe1ae267ddb2956,66
